Date,Hour,Target
01/23/2020 ,15,23.15
01/23/2020 ,16,25.98
01/23/2020 ,17,31.24
01/23/2020 ,18,43.01
01/23/2020 ,19,41.32
01/23/2020 ,20,36.87
01/23/2020 ,21,35.01
01/23/2020 ,22,33.51
01/23/2020 ,23,30
01/23/2020 ,24,27.99
01/24/2020 ,1,26.41
01/24/2020 ,2,25.99
01/24/2020 ,3,24.44
01/24/2020 ,4,24.7
01/24/2020 ,5,25.81
01/24/2020 ,6,27.81
01/24/2020 ,7,36.83
01/24/2020 ,8,34.61
01/24/2020 ,9,28.17
01/24/2020 ,10,23.77
01/24/2020 ,11,20.14
01/24/2020 ,12,18.61
01/24/2020 ,13,17.02
01/24/2020 ,14,15.7
01/24/2020 ,15,17.11
01/24/2020 ,16,21.98
01/24/2020 ,17,31.04
01/24/2020 ,18,37.69
01/24/2020 ,19,36.76
01/24/2020 ,20,34.03
01/24/2020 ,21,32.61
01/24/2020 ,22,31.54
01/24/2020 ,23,30.32
01/24/2020 ,24,27.97
01/25/2020 ,1,23.7
01/25/2020 ,2,25.96
01/25/2020 ,3,23.82
01/25/2020 ,4,24.75
01/25/2020 ,5,24.78
01/25/2020 ,6,27.94
01/25/2020 ,7,32.35
01/25/2020 ,8,31.78
01/25/2020 ,9,27.72
01/25/2020 ,10,22.1
01/25/2020 ,11,18.09
01/25/2020 ,12,14.95
01/25/2020 ,13,15.7
01/25/2020 ,14,13.52
01/25/2020 ,15,15.85
01/25/2020 ,16,22.96
01/25/2020 ,17,31.12
01/25/2020 ,18,40
01/25/2020 ,19,37.98
01/25/2020 ,20,35
01/25/2020 ,21,32.55
01/25/2020 ,22,30
01/25/2020 ,23,27.41
01/25/2020 ,24,26.7
01/26/2020 ,1,24.66
01/26/2020 ,2,25.06
01/26/2020 ,3,25.52
01/26/2020 ,4,25.6
01/26/2020 ,5,25.07
01/26/2020 ,6,27.22
01/26/2020 ,7,28.43
01/26/2020 ,8,26.38
01/26/2020 ,9,20.29
01/26/2020 ,10,15.12
01/26/2020 ,11,13.15
01/26/2020 ,12,7.9
01/26/2020 ,13,10
01/26/2020 ,14,8.34
01/26/2020 ,15,9.26
01/26/2020 ,16,16.49
01/26/2020 ,17,27.25
01/26/2020 ,18,34.83
01/26/2020 ,19,33.97
01/26/2020 ,20,33.28
